winner,loser,total turns,width,height,ships
random placement/parity shooting/clockwise targeting,cluster placement/parity shooting/clockwise targeting,21,7,7,2;2;3
random placement/random shooting/clockwise targeting,random placement/random shooting/probability targeting,30,7,7,2;2;3
random placement/random shooting/clockwise targeting,random placement/probability shooting/clockwise targeting,18,7,7,2;2;3
random placement/probability shooting/probability targeting,random placement/random shooting/clockwise targeting,25,7,7,2;2;3
random placement/distance shooting/clockwise targeting,random placement/random shooting/clockwise targeting,24,7,7,2;2;3
random placement/random shooting/clockwise targeting,random placement/distance shooting/probability targeting,29,7,7,2;2;3
edge placement/random shooting/clockwise targeting,random placement/random shooting/clockwise targeting,25,7,7,2;2;3
random placement/random shooting/clockwise targeting,edge placement/random shooting/probability targeting,10,7,7,2;2;3
tie,tie,26,7,7,2;2;3
edge placement/probability shooting/probability targeting,random placement/random shooting/clockwise targeting,18,7,7,2;2;3
edge placement/distance shooting/clockwise targeting,random placement/random shooting/clockwise targeting,32,7,7,2;2;3
edge placement/distance shooting/probability targeting,random placement/random shooting/clockwise targeting,23,7,7,2;2;3
tie,tie,37,7,7,2;2;3
random placement/random shooting/clockwise targeting,random placement with spacing/random shooting/probability targeting,17,7,7,2;2;3
random placement with spacing/probability shooting/clockwise targeting,random placement/random shooting/clockwise targeting,14,7,7,2;2;3
random placement with spacing/probability shooting/probability targeting,random placement/random shooting/clockwise targeting,22,7,7,2;2;3
random placement with spacing/distance shooting/clockwise targeting,random placement/random shooting/clockwise targeting,21,7,7,2;2;3
tie,tie,27,7,7,2;2;3
edge placement with spacing/random shooting/clockwise targeting,random placement/random shooting/clockwise targeting,19,7,7,2;2;3
random placement/random shooting/clockwise targeting,edge placement with spacing/random shooting/probability targeting,34,7,7,2;2;3
edge placement with spacing/probability shooting/clockwise targeting,random placement/random shooting/clockwise targeting,24,7,7,2;2;3
edge placement with spacing/probability shooting/probability targeting,random placement/random shooting/clockwise targeting,26,7,7,2;2;3
edge placement with spacing/distance shooting/clockwise targeting,random placement/random shooting/clockwise targeting,19,7,7,2;2;3
random placement/random shooting/clockwise targeting,edge placement with spacing/distance shooting/probability targeting,21,7,7,2;2;3
cluster placement/random shooting/clockwise targeting,random placement/random shooting/clockwise targeting,14,7,7,2;2;3
random placement/random shooting/clockwise targeting,cluster placement/random shooting/probability targeting,22,7,7,2;2;3
cluster placement/probability shooting/clockwise targeting,random placement/random shooting/clockwise targeting,26,7,7,2;2;3
random placement/random shooting/clockwise targeting,cluster placement/probability shooting/probability targeting,16,7,7,2;2;3
random placement/random shooting/clockwise targeting,cluster placement/distance shooting/clockwise targeting,27,7,7,2;2;3
cluster placement/distance shooting/probability targeting,random placement/random shooting/clockwise targeting,17,7,7,2;2;3
random placement/random shooting/probability targeting,random placement/random shooting/clockwise targeting,27,7,7,2;2;3
random placement/random shooting/probability targeting,random placement/probability shooting/clockwise targeting,19,7,7,2;2;3
random placement/probability shooting/probability targeting,random placement/random shooting/probability targeting,19,7,7,2;2;3
random placement/distance shooting/clockwise targeting,random placement/random shooting/probability targeting,17,7,7,2;2;3
random placement/distance shooting/probability targeting,random placement/random shooting/probability targeting,28,7,7,2;2;3
edge placement/random shooting/clockwise targeting,random placement/random shooting/probability targeting,13,7,7,2;2;3
edge placement/random shooting/probability targeting,random placement/random shooting/probability targeting,29,7,7,2;2;3
random placement/random shooting/probability targeting,edge placement/probability shooting/clockwise targeting,28,7,7,2;2;3
random placement/random shooting/probability targeting,edge placement/probability shooting/probability targeting,21,7,7,2;2;3
edge placement/distance shooting/clockwise targeting,random placement/random shooting/probability targeting,15,7,7,2;2;3
random placement/random shooting/probability targeting,edge placement/distance shooting/probability targeting,21,7,7,2;2;3
random placement/random shooting/probability targeting,random placement with spacing/random shooting/clockwise targeting,22,7,7,2;2;3
random placement with spacing/random shooting/probability targeting,random placement/random shooting/probability targeting,20,7,7,2;2;3
random placement/random shooting/probability targeting,random placement with spacing/probability shooting/clockwise targeting,27,7,7,2;2;3
random placement with spacing/probability shooting/probability targeting,random placement/random shooting/probability targeting,19,7,7,2;2;3
random placement with spacing/distance shooting/clockwise targeting,random placement/random shooting/probability targeting,17,7,7,2;2;3
random placement/random shooting/probability targeting,random placement with spacing/distance shooting/probability targeting,14,7,7,2;2;3
edge placement with spacing/random shooting/clockwise targeting,random placement/random shooting/probability targeting,25,7,7,2;2;3
random placement/random shooting/probability targeting,edge placement with spacing/random shooting/probability targeting,28,7,7,2;2;3
edge placement with spacing/probability shooting/clockwise targeting,random placement/random shooting/probability targeting,19,7,7,2;2;3
edge placement with spacing/probability shooting/probability targeting,random placement/random shooting/probability targeting,12,7,7,2;2;3
random placement/random shooting/probability targeting,edge placement with spacing/distance shooting/clockwise targeting,27,7,7,2;2;3
random placement/random shooting/probability targeting,edge placement with spacing/distance shooting/probability targeting,29,7,7,2;2;3
random placement/random shooting/probability targeting,cluster placement/random shooting/clockwise targeting,15,7,7,2;2;3
